Mean,Median,STD,Variance,Min,Max,Range,IQR,Kurtosis,Skewness,MAD,RMS,NumPeaks,Energy,ZCR,FFT_Mean,FFT_Std,PSD_Mean,PSD_Std,Class
-0.103812,-0.1035,0.027112,0.000735,-0.21501,0.027967,0.242977,0.035021,3.678208,0.084461,0.021234,0.107294,1165,71.903427,0.001041,0.000236,0.001874,0.000229,0.001888,Stand
30.735486,30.735,17.745269,314.894562,0.006,61.463,61.457,30.73375,1.800014,-0.000016,15.366528,35.489617,25,7659097.912,0.000082,0.03854,0.60087,24.206385,213.708607,Stand
31.244517,31.2435,18.040412,325.456455,0.006,62.483,62.477,31.244,1.79997,0.000028,15.622228,36.078022,6,8046637.346,0.000081,0.038587,0.605784,25.251395,222.935282,Stand
39.997713,39.997,17.323955,300.119414,9.999,69.996,59.997,30.003,1.799994,0.000005,15.001735,43.587681,3,11279622.87,0.000084,0.041826,0.766696,36.96182,326.329508,Stand
31.225267,31.2245,18.029037,325.046166,0.004,62.444,62.44,31.224,1.799988,-0.000009,15.612411,36.055664,7,8031467.198,0.000081,0.038587,0.605605,25.252826,222.947832,Stand
31.966948,31.973,17.325339,300.167374,1.966,61.969,60.003,30.00925,1.799957,0.000026,15.00303,36.359353,7,7848729.169,0.000084,0.039123,0.627159,25.572577,225.771082,Stand
31.016314,31.0165,17.911139,320.80891,0,62.032,62.032,31.021,1.799994,0.000028,15.51026,35.815756,13,7873632.224,0.000081,0.038562,0.603516,24.197337,213.628714,Stand
32.81141,32.811,18.947611,359.01197,0.007,65.621,65.614,32.81475,1.799999,0.000006,16.407839,37.888591,7,9320995.847,0.000077,0.038749,0.620851,27.404271,241.943551,Stand
33.866683,33.867,19.554388,382.374071,0.005,67.726,67.721,33.867,1.799999,0.000004,16.933337,39.105872,7,10247632.96,0.000075,0.038852,0.630814,29.657229,261.835487,Stand
32.08447,32.084,18.541619,343.791632,0.008,64.192,64.184,32.112,1.799998,0.000041,16.056259,37.056049,9,8724999.845,0.000079,0.038661,0.613696,26.282637,232.040267,Stand
31.241596,31.24,18.037321,325.344953,0.009,62.476,62.467,31.21775,1.799998,0.000007,15.619474,36.073947,13,8043518.431,0.000081,0.038593,0.605818,25.253917,222.957508,Stand
31.054924,31.055,17.932624,321.579012,0.002,62.108,62.106,31.0565,1.799988,-0.00001,15.528854,35.859935,9,7902070.358,0.000081,0.038573,0.603969,25.248366,222.908412,Stand
31.129933,31.13,17.974815,323.09396,0.043,62.257,62.214,31.1465,1.799987,0.000001,15.5654,35.945991,12,7959423.692,0.000081,0.038567,0.604639,25.246285,222.890123,Stand
31.226746,31.2255,18.02836,325.021778,0.01,62.444,62.434,31.225,1.799932,0.000047,15.611856,36.056606,28,8031886.99,0.000081,0.038585,0.605626,25.254186,222.95989,Stand
0.03863,0.037145,0.018708,0.00035,-0.033751,0.11404,0.147791,0.024132,3.317118,0.38542,0.014782,0.04292,1585,11.038235,0.012433,0.000141,0.000732,0.000037,0.000289,Sit
33.510507,33.5245,18.203598,331.370995,2,65.018,63.018,31.551,1.799075,-0.000284,15.765652,38.134924,5,9156099.227,0.000079,0.038911,0.638615,28.387575,250.62565,Sit
31.480813,31.481,18.178077,330.4425,0.002,62.958,62.956,31.48325,1.799995,-0.000004,15.741437,36.351509,22,8424130.493,0.000078,0.037807,0.601139,25.127094,221.838478,Sit
31.892445,31.894,18.412986,339.038042,0.004,63.775,63.771,31.885,1.800157,-0.000315,15.944463,36.825439,0,8647932.131,0.000078,0.038286,0.608891,25.77072,227.520817,Sit
35.013679,35.015,17.330192,300.335539,5.005,65.016,60.011,30.014,1.799645,-0.00038,15.008059,39.067163,0,9155932.885,0.000083,0.039772,0.676218,29.058104,256.545823,Sit
35.01729,35.009,17.335391,300.515792,5.009,65.03,60.021,30.034,1.799181,0.000358,15.013286,39.072705,0,9158530.982,0.000083,0.039779,0.676302,29.065919,256.614885,Sit
31.183569,31.19,18.013525,324.48709,0.001,62.37,62.369,31.204,1.799409,-0.000009,15.599711,36.011804,1,8083266.053,0.00008,0.038236,0.60222,24.748708,218.497321,Sit
30.668488,30.671,17.126524,293.317834,1.004,60.325,59.321,29.658,1.80026,-0.000111,14.830365,35.125839,0,7314111.828,0.000084,0.038411,0.604419,23.917423,211.157704,Sit
32.753858,32.761,17.74892,315.024162,2.009,63.489,61.48,30.73575,1.800303,-0.000262,15.369869,37.253029,1,8527958.108,0.000081,0.038839,0.631649,27.274692,240.799805,Sit
30.950769,30.95,17.869742,319.327665,0.034,61.896,61.862,30.95,1.799981,0.000026,15.474411,35.738294,10,7821729.881,0.000082,0.038551,0.602909,24.203305,213.681413,Sit
40.863144,40.8585,17.822805,317.65239,10.002,71.722,61.72,30.87,1.799713,0.000018,15.434856,44.580236,1,12266216.91,0.000081,0.041415,0.768655,38.898937,343.433026,Sit
0.094092,0.094778,0.032171,0.001035,-0.056095,0.22431,0.280405,0.041483,3.283058,-0.109409,0.025311,0.099439,1293,61.702319,0.002965,0.000256,0.001714,0.000194,0.001584,Sit
35.264725,35.274,17.759371,315.395265,4.508,66.007,61.499,30.7485,1.800044,-0.000897,15.378118,39.483475,0,9584392.715,0.000081,0.039643,0.673999,30.643959,270.547826,Sit
30.494851,30.4935,17.034193,290.163735,1.001,59.997,58.996,29.497,1.799997,0.000027,14.750794,34.92923,22,7288585.347,0.000084,0.037929,0.598708,23.296622,205.676805,Sit
27.000812,26.998,15.588348,242.996596,0.007,53.993,53.986,27.003,1.799994,0.000001,13.498689,31.17685,11,5313902.049,0.000091,0.037323,0.556606,18.433432,162.738422,Sit
0.051667,0.051784,0.028367,0.000805,-0.078043,0.14999,0.228033,0.03519,3.678941,-0.18812,0.021869,0.058941,1499,21.733612,0.021819,0.000213,0.000968,0.000069,0.000506,Sit
31.533822,31.5345,18.208288,331.541769,0.005,63.062,63.057,31.5355,1.799997,-0.000001,15.767611,36.412506,6,8273432.324,0.00008,0.038614,0.608559,25.24579,222.885871,Sit
32.0014,32.002,17.323115,300.090307,2.005,62,59.995,30,1.800021,-0.000003,15.00094,36.388604,6,8042768.51,0.000082,0.038315,0.620591,25.55629,225.627921,Sit
30.857598,30.858,17.819935,317.550094,0,61.714,61.714,30.864,1.799992,0.000018,15.431266,35.632702,20,7753993.353,0.000082,0.038549,0.601995,24.194415,213.60294,Sit
32.959746,32.9585,19.029398,362.117998,0.008,65.91,65.902,32.957,1.800006,0.000026,16.4787,38.057963,17,9666678.85,0.000075,0.037945,0.615106,28.316866,250.001762,Sit
35.000146,35.001,17.323777,300.113252,5.001,64.997,59.996,30.00425,1.799999,0.000003,15.001577,39.052182,5,9054357.953,0.000084,0.040142,0.679468,29.572789,261.089921,Sit
32.874293,32.874,18.981842,360.310332,0.003,65.742,65.739,32.876,1.799995,0.000007,16.4375,37.960164,4,9373536.28,0.000077,0.038755,0.621459,27.406617,241.964234,Sit
31.040394,31.042,17.919467,321.107308,0.011,62.068,62.057,31.0385,1.800008,-0.000003,15.517462,35.84079,7,8072189.179,0.00008,0.03776,0.596924,25.138735,221.941199,Sit
31.719657,31.719,18.316232,335.484352,0.002,63.436,63.434,31.7195,1.799984,0.000015,15.861076,36.627415,5,8421019.358,0.00008,0.038639,0.610396,26.312772,232.306422,Sit
