Mean,Median,STD,Variance,Min,Max,Range,IQR,Kurtosis,Skewness,MAD,RMS,NumPeaks,Energy,ZCR,FFT_Mean,FFT_Std,PSD_Mean,PSD_Std,Class
33.5463,33.55614,18.2045,331.4048,2.02208,65.02826,63.0062,31.4893,1.7978,0.000557,15.7701,38.16683,1272,9171425.163,0,0.038905,0.63922,28.43624,251.05385,Sit
31.48906,31.50837,18.1786,330.4629,-0.02903,62.98396,63.013,31.4808,1.8001,-0.000098,15.7416,36.35893,1651,8427569.732,0.000157,0.037816,0.60128,25.13716,221.92885,Sit
31.93896,31.93986,18.4145,339.0953,0.107431,63.84461,63.7372,31.9204,1.7993,0.000576,15.9467,36.86651,1389,8667232.401,0,0.038293,0.60966,25.82992,228.04083,Sit
35.09951,35.14652,17.3351,300.5042,5.04275,65.18769,60.1449,30.2091,1.7991,0.001272,15.0092,39.14626,1048,9193044.888,0,0.039839,0.67772,29.17674,257.59041,Sit
35.0848,35.06718,17.3366,300.5589,5.11584,65.08669,59.9708,30.0627,1.7993,0.000183,15.0137,39.13377,1241,9187182.078,0,0.039792,0.67747,29.1592,257.43896,Sit
31.21458,31.20857,18.0113,324.4071,-0.021666,62.41467,62.4363,31.2263,1.7988,4.8e-05,15.5989,36.03755,1233,8094828.691,0.000321,0.038252,0.60272,24.78568,218.82411,Sit
30.74855,30.74337,17.1213,293.1397,1.03531,60.38654,59.3512,29.6361,1.8,-0.00028,14.8276,35.19323,1176,7342205.72,0,0.038431,0.60576,24.01183,211.99083,Sit
32.82863,32.8414,17.75,315.0614,2.01292,63.58654,61.5736,30.7443,1.8002,-0.000371,15.3704,37.31929,1359,8558321.882,0,0.038884,0.63291,27.37199,241.65968,Sit
30.94898,30.91066,17.8703,319.3459,-0.034514,61.9304,61.9649,31.0299,1.8,-0.000164,15.4745,35.737,1591,7821162.492,0.000327,0.038554,0.60288,24.2025,213.6741,Sit
40.92004,40.93005,17.8202,317.5578,10.059,71.81468,61.7557,30.8162,1.8001,0.00015,15.4329,44.63134,1223,12294353.77,0,0.041437,0.76962,38.9895,344.23101,Sit
31.2633,31.2805,17.9293,321.4601,0.019261,62.08736,62.0681,31.104,1.7898,-0.01124,15.5475,36.0389,1104,8104528.008,0,0.038023,0.60277,24.75311,218.53146,Sit
35.30123,35.32086,17.7605,315.4354,4.54952,66.04621,61.4967,30.6444,1.7999,-0.0011,15.3786,39.5166,1244,9600478.856,0,0.039654,0.67463,30.69587,271.00594,Sit
30.49693,30.49231,17.0333,290.132,0.942258,60.00752,59.0653,29.4909,1.7999,0.000228,14.7501,34.93059,1567,7289151.373,0,0.037938,0.59874,23.29821,205.69146,Sit
27.0013,26.985,15.5881,242.9875,-0.023981,54.01517,54.0391,26.999,1.8,0.000113,13.4985,31.17713,1402,5313996.73,0.000183,0.03733,0.55661,18.43368,162.74008,Sit
